Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
100.00      0.01     0.01    30001     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::empty() const
  0.00      0.01     0.00   600000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.01     0.00   390234     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.01     0.00   240000     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.01     0.00   210000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      0.01     0.00   210000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.00      0.01     0.00   210000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.01     0.00   210000     0.00     0.00  std::_List_node<int>::_M_valptr()
  0.00      0.01     0.00   180006     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.01     0.00   180002     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.01     0.00   180001     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      0.01     0.00   180001     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      0.01     0.00   180001     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  0.00      0.01     0.00   180001     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  0.00      0.01     0.00   180000     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      0.01     0.00   180000     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00      0.01     0.00   180000     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      0.01     0.00   180000     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.01     0.00   180000     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.01     0.00   180000     0.00     0.00  std::operator!=(std::_List_iterator<int> const&, std::_List_iterator<int> const&)
  0.00      0.01     0.00   150000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::end()
  0.00      0.01     0.00   120000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.01     0.00   120000     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.01     0.00   120000     0.00     0.00  std::_Bit_reference::operator bool() const
